車両形式,エンジン位置・駆動軸位置,全長,全幅,全高,ホイールベース,最低地上高,車両重量(kg),定員(名),車名,グレード,エンジンサイクル,使用燃料,気筒数配置,弁機構,総排気量(cc),最高出力(kw),最大トルク(Nm),燃料タンク容量(?),トランスミッション,タイヤ規格,10・15モード燃費(km/?),最小回転半径(m),東京標準現金価格(円),タイプ,外観写真,運転席写真
M300S,FF,3595,1665,1535,2440,160,900,5,ブーン,1.0CL (4AT),4G,R,直3,DOHC,996,52,94,40,EAT,155/80R13,21.5,4.3,"1,029,000",コンパクト,passo_ov.jpg,passo_drv.jpg
M301S,4WD,3595,1665,1550,2440,160,930,5,ブーン,1.3CX (4AT),4G,R,直4,DOHC,1297,66,123,40,EAT,155/80R13,18.0,4.7,"1,249,500",コンパクト,passo_ov.jpg,passo_drv.jpg
M310S,4WD,3595,1665,1535,2440,160,930,5,ブーン,1.0CL 4WD (4AT),4G,R,直3,DOHC,996,52,94,38,EAT,155/80R13,18.4,4.3,"1,207,500",コンパクト,passo_ov.jpg,passo_drv.jpg
M600S,FF,3640,1665,1535,2440,140,910,5,ブーン,1.0CL (CVT),4G,R,直3,DOHC,996,51,92,40,CVT,155/80R13,22.5,4.3,"1,100,000",コンパクト,,
M601S,FF,3640,1665,1550,2440,140,940,5,ブーン,1.3CX (CVT),4G,R,直4,DOHC,1329,,,40,CVT,165/70R14,21.0,4.7,"1,380,000",コンパクト,,
M610S,4WD,3640,1665,1535,2440,140,970,5,ブーン,1.0CL 4WD (CVT),4G,R,直3,DOHC,996,51,92,38,CVT,155/80R13,19.2,4.3,"1,285,000",コンパクト,,
M610S,4WD,3640,1665,1550,2440,140,970,5,ブーン,1.0CL リミッテッド 4WD (CVT),4G,R,直3,DOHC,996,51,92,38,CVT,165/70R14,19.2,4.7,"1,435,000",コンパクト,,
M401S,FF,3800,1690,1635,2540,150,1060,5,クー,CS (4AT),4G,R,直4,DOHC,1297,68,123,40,EAT,175/65R14,16.4,4.9,"1,365,000",コンパクト,bB_ov.jpg,bB_drv.jpg
M401S,FF,3800,1690,1635,2540,150,1060,5,クー,CL (4AT),4G,R,直4,DOHC,1297,68,123,40,EAT,175/65R14,16.4,4.9,"1,480,500",コンパクト,bB_ov.jpg,bB_drv.jpg
M402S,FF,3800,1690,1635,2540,150,1070,5,クー,CX-Limited (4AT),4G,R,直4,DOHC,1495,80,141,40,EAT,185/55R15,16.0,4.9,"1,701,000",コンパクト,bB_ov.jpg,bB_drv.jpg
M411S,4WD,3800,1690,1635,2540,150,1120,5,クー,CX 4WD (4AT),4G,R,直4,DOHC,1297,68,123,38,EAT,185/55R15,15.2,4.9,"1,831,200",コンパクト,bB_ov.jpg,bB_drv.jpg
ACV40N,FF,4815,1820,1470,2775,150,1500,5,アルティス,G リミッテッドエディション (5AT),4G,R,直4,DOHC,2362,123,224,70,EAT,215/60R16,11.4,5.5,"2,646,000",セダン,camry_ov.jpg,camry_drv.jpg
ACV45N,4WD,4815,1820,1480,2775,150,1590,5,アルティス,G Four リミッテッドエディション (4AT),4G,R,直4,DOHC,2362,123,224,65,EAT,215/60R16,10.6,5.5,"2,814,000",セダン,camry_ov.jpg,camry_drv.jpg
J200G,FR,3995,1695,1690,2580,180,1150,5,ビーゴ,CL (4AT),4G,R,直4,DOHC,1495,80,141,50,EAT,215/65R16,14.6,4.9,"1,596,000",SUV,rush_ov.jpg,rush_drv.jpg
J210G,4WD,3995,1695,1705,2580,200,1180,5,ビーゴ,CL 4WD (5MT),4G,R,直4,DOHC,1495,80,141,50,MT,215/65R16,15.2,4.9,"1,701,000",SUV,rush_ov.jpg,rush_drv.jpg
J210G,4WD,3995,1695,1705,2580,200,1190,5,ビーゴ,CL 4WD (4AT),4G,R,直4,DOHC,1495,80,141,50,EAT,215/65R16,14.0,4.9,"1,900,500",SUV,rush_ov.jpg,rush_drv.jpg
L405S,FF,3395,1475,1470,2440,130,820,4,ソニカ,R (CVT),4G,R,直3,DOHC,658,47,103,36,CVT,155/80R12,23.0,4.5,"1,207,500",軽自動車,sonica_ov.jpg,sonica_drv.jpg
L405S,FF,3395,1475,1470,2440,130,820,4,ソニカ,RS (CVT),4G,R,直3,DOHC,658,47,103,36,CVT,165/55R15,23.0,4.7,"1,344,000",軽自動車,sonica_ov.jpg,sonica_drv.jpg
L405S,FF,3395,1475,1470,2440,130,820,4,ソニカ,RS Limited (M-CVT),4G,R,直3,DOHC,658,47,103,36,CVT,165/55R15,23.0,4.7,"1,428,000",軽自動車,sonica_ov.jpg,sonica_drv.jpg
L415S,4WD,3395,1475,1470,2440,130,870,4,ソニカ,RS 4WD (CVT),4G,R,直3,DOHC,658,47,103,34,CVT,165/55R15,21.0,4.7,"1,559,250",軽自動車,sonica_ov.jpg,sonica_drv.jpg
L235S,FF,3395,1475,1470,2390,130,700,4,エッセ,ECO (5MT),4G,R,直3,DOHC,658,43,65,36,MT,145/80R12,26.0,4.2,"682,000",軽自動車,esse_ov.jpg,esse_drv.jpg
L235S,FF,3395,1475,1470,2390,130,710,4,エッセ,D (3AT),4G,R,直3,DOHC,658,43,65,36,AT,145/80R12,21.0,4.2,"756,000",軽自動車,esse_ov.jpg,esse_drv.jpg
L235S,FF,3395,1475,1470,2390,130,720,4,エッセ,X (4AT),4G,R,直3,DOHC,658,43,65,36,AT,155/65R13,22.0,4.2,"924,000",軽自動車,esse_ov.jpg,esse_drv.jpg
L235S,FF,3395,1475,1470,2390,130,730,4,エッセ,カスタム (4AT),4G,R,直3,DOHC,658,43,65,36,AT,155/65R14,22.0,4.4,"987,000",軽自動車,esse_ov.jpg,esse_drv.jpg
L245S,4WD,3395,1475,1470,2390,130,760,4,エッセ,L 4WD (3AT),4G,R,直3,DOHC,658,43,65,34,AT,145/80R12,20.0,4.2,"966,000",軽自動車,esse_ov.jpg,esse_drv.jpg
L275S,FF,3395,1475,1530,2490,160,740,4,ミラ,5ドアL (5MT),4G,R,直3,DOHC,658,43,65,36,MT,145/80R13,25.0,4.3,"871,500",軽自動車,mira_ov.jpg,mira_drv.jpg
L275S,FF,3395,1475,1530,2490,160,750,4,ミラ,5ドアX (4AT),4G,R,直3,DOHC,658,43,65,36,AT,145/80R13,22.0,4.3,"976,500",軽自動車,mira_ov.jpg,mira_drv.jpg
L275S,FF,3395,1475,1530,2490,160,780,4,ミラ,5ドアX Limited (CVT),4G,R,直3,DOHC,658,43,65,36,CVT,145/80R13,25.5,4.2,"1,050,000",軽自動車,mira_ov.jpg,mira_drv.jpg
L275S,FF,3395,1475,1530,2490,160,790,4,ミラ,5ドアX Limited SMART DRIVE PACKAGE (CVT),4G,R,直3,DOHC,658,43,65,36,CVT,145/80R13,27.0,4.2,"1,134,000",軽自動車,mira_ov.jpg,mira_drv.jpg
L275S,4WD,3395,1475,1530,2490,160,800,4,ミラ,5ドアL 4WD (3AT),4G,R,直3,DOHC,658,43,65,34,AT,145/80R13,21.0,4.2,"1,008,000",軽自動車,mira_ov.jpg,mira_drv.jpg
L275S,FF,3395,1475,1530,2490,160,780,4,ミラ,カスタムL (4AT),4G,R,直3,DOHC,658,43,65,36,AT,145/80R13,22.0,4.3,"1,102,500",軽自動車,mira_ov.jpg,mira_drv.jpg
L275S,FF,3395,1475,1530,2490,160,820,4,ミラ,カスタムX (CVT),4G,R,直3,DOHC,658,43,65,36,CVT,155/65R14,25.5,4.5,"1,207,500",軽自動車,mira_ov.jpg,mira_drv.jpg
L285S,4WD,3395,1475,1530,2490,160,880,4,ミラ,カスタムRS 4WD (CVT),4G,R,直3,DOHC,658,47,103,34,CVT,165/55R15,21.0,4.7,"1,548,750",軽自動車,mira_ov.jpg,mira_drv.jpg
L650S,FF,3395,1475,1515,2390,150,780,4,ミラジーノ,L (4AT),4G,R,直3,DOHC,659,43,64,36,AT,145/80R13,20.5,4.2,"987,000",軽自動車,miragino_ov.jpg,miragino_drv.jpg
L650S,FF,3395,1475,1515,2390,150,780,4,ミラジーノ,プレミアX (4AT),4G,R,直3,DOHC,659,43,64,36,AT,155/65R14,20.5,4.4,"1,197,000",軽自動車,miragino_ov.jpg,miragino_drv.jpg
L650S,4WD,3395,1475,1515,2390,150,820,4,ミラジーノ,ミニライト 4WD (4AT),4G,R,直3,DOHC,659,43,64,34,AT,165/55R15,18.8,4.6,"1,386,000",軽自動車,miragino_ov.jpg,miragino_drv.jpg
L350S,FF,3395,1475,1725,2440,145,870,4,タント,L (4AT),4G,R,直3,DOHC,659,43,64,36,AT,145/80R13,18.0,4.5,"1,050,000",軽自動車,tanto_ov.jpg,tanto_drv.jpg
L350S,FF,3395,1475,1725,2440,145,870,4,タント,X (4AT),4G,R,直3,DOHC,659,43,64,36,AT,155/65R14,18.0,4.5,"1,186,500",軽自動車,tanto_ov.jpg,tanto_drv.jpg
L350S,4WD,3395,1475,1725,2440,150,940,4,タント,RS 4WD (4AT),4G,R,直3,DOHC,659,47,103,34,EAT,155/65R14,17.2,4.5,"1,536,150",軽自動車,tanto_ov.jpg,tanto_drv.jpg
L350S,FF,3395,1475,1725,2440,145,890,4,タント,カスタムX (4AT),4G,R,直3,DOHC,659,43,64,36,AT,155/65R14,18.0,4.5,"1,312,500",軽自動車,tanto_ov.jpg,tanto_drv.jpg
L350S,4WD,3395,1475,1725,2440,150,960,4,タント,カスタムRS 4WD (4AT),4G,R,直3,DOHC,659,47,103,34,EAT,165/55R15,17.2,4.5,"1,651,650",軽自動車,tanto_ov.jpg,tanto_drv.jpg
L375S,FF,3395,1475,1750,2490,160,900,4,タント,G (CVT),4G,R,直3,DOHC,658,43,65,36,CVT,145/80R13,21.0,4.5,"1,360,000",軽自動車,,
L375S,FF,3395,1475,1750,2490,160,900,4,タント,L (CVT),4G,R,直3,DOHC,658,43,65,36,CVT,145/80R13,21.0,4.5,"1,160,000",軽自動車,,
L375S,FF,3395,1475,1750,2490,160,920,4,タント,X スペシャル (CVT),4G,R,直3,DOHC,658,43,65,36,CVT,145/80R13,21.0,4.5,"1,240,500",軽自動車,,
L385S,4WD,3395,1475,1750,2490,155,970,4,タント,X スペシャル 4WD (CVT),4G,R,直3,DOHC,658,43,65,34,CVT,145/80R13,21.0,4.5,"1,296,000",軽自動車,,
L375S,FF,3395,1475,1750,2490,160,920,4,タント,カスタム X  (CVT),4G,R,直3,DOHC,658,43,65,36,CVT,155/65R14,21.0,4.5,"1,500,000",軽自動車,,
L375S,FF,3395,1475,1750,2490,160,930,4,タント,カスタム L  (CVT),4G,R,直3,DOHC,658,43,65,36,CVT,155/65R14,21.0,4.5,"1,430,000",軽自動車,,
L385S,4WD,3395,1475,1750,2490,155,1010,4,タント,カスタムRS 4WD (CVT),4G,R,直3,DOHC,658,47,103,34,CVT,165/55R15,18.2,4.7,"1,751,000",軽自動車,,
L175S,FF,3395,1475,1630,2490,160,810,4,ムーヴ,L (5MT),4G,R,直3,DOHC,658,43,65,36,MT,145/80R13,23.5,4.3,"1,018,500",軽自動車,move_ov.jpg,move_drv.jpg
L185S,4WD,3395,1475,1630,2490,155,870,4,ムーヴ,X 4WD (4AT),4G,R,直3,DOHC,658,43,65,36,AT,145/80R13,19.8,4.2,"1,286,250",軽自動車,move_ov.jpg,move_drv.jpg
L175S,FF,3395,1475,1630,2490,160,840,4,ムーヴ,X Limited (CVT),4G,R,直3,DOHC,658,43,65,36,CVT,155/65R14,23.0,4.5,"1,239,000",軽自動車,move_ov.jpg,move_drv.jpg
L175S,FF,3395,1475,1630,2490,160,840,4,ムーヴ,カスタムX (4AT),4G,R,直3,DOHC,658,43,65,36,AT,155/65R14,20.0,4.5,"1,281,000",軽自動車,move_ov.jpg,move_drv.jpg
L175S,FF,3395,1475,1630,2490,160,850,4,ムーヴ,カスタムX Limited (CVT),4G,R,直3,DOHC,658,43,65,36,CVT,155/65R14,23.0,4.5,"1,365,000",軽自動車,move_ov.jpg,move_drv.jpg
L175S,FF,3395,1475,1615,2490,160,850,4,ムーヴ,カスタムR Limited (4AT),4G,R,直3,DOHC,658,47,103,36,AT,155/65R14,18.6,4.5,"1,470,000",軽自動車,move_ov.jpg,move_drv.jpg
L185S,4WD,3395,1475,1615,2490,145,930,4,ムーヴ,カスタムRS 4WD (CVT),4G,R,直3,DOHC,658,47,103,34,CVT,165/50R16,19.8,4.7,"1,674,750",軽自動車,move_ov.jpg,move_drv.jpg
LA100S,FF,3395,1475,1635,2455,160,810,4,ムーヴ,L (CVT),4G,R,直3,DOHC,658,38,60,36,CVT,155/65R14,25.0,4.4,"1,120,000",軽自動車,,
